ocel:oid,ocel:type
cc_004,cost_center
po_000025_item_1,item
po_000025_item_2,item
product_0058,product
po_000025_item_3,item
product_0115,product
po_000025_item_4,item
product_0096,product
po_000025_gr_1,goods_receipt
po_000025_gr_2,goods_receipt
po_000025_inv_1,invoice
po_000025_inv_2,invoice
po_000026,purchase_order
supplier_013,supplier
po_000026_item_1,item
product_0071,product
po_000026_item_2,item
po_000026_item_3,item
product_0090,product
po_000026_item_4,item
product_0018,product
po_000026_gr_1,goods_receipt
po_000026_inv_1,invoice
po_000027,purchase_order
po_000027_item_1,item
product_0196,product
po_000027_item_2,item
product_0173,product
po_000027_gr_1,goods_receipt
po_000027_inv_1,invoice
po_000028,purchase_order
supplier_039,supplier
cc_009,cost_center
po_000028_item_1,item
product_0057,product
po_000028_item_2,item
po_000028_gr_1,goods_receipt
po_000028_gr_2,goods_receipt
po_000028_inv_1,invoice
po_000029,purchase_order
supplier_042,supplier
po_000029_item_1,item
product_0183,product
po_000029_gr_1,goods_receipt
po_000029_inv_1,invoice
po_000029_inv_2,invoice
po_000030,purchase_order
supplier_027,supplier
po_000030_item_1,item
product_0088,product
po_000030_item_2,item
po_000030_item_3,item
product_0005,product
po_000030_item_4,item
product_0055,product
po_000030_gr_1,goods_receipt
po_000030_inv_1,invoice
po_000031,purchase_order
cc_010,cost_center
po_000031_item_1,item
product_0008,product
po_000031_item_2,item
po_000031_item_3,item
product_0002,product
po_000031_item_4,item
po_000031_item_5,item
product_0047,product
po_000031_gr_1,goods_receipt
po_000031_inv_1,invoice
po_000032,purchase_order
supplier_019,supplier
cc_007,cost_center
po_000032_item_1,item
po_000032_item_2,item
product_0075,product
po_000032_item_3,item
po_000032_gr_1,goods_receipt
po_000032_inv_1,invoice
po_000033,purchase_order
po_000033_item_1,item
product_0121,product
po_000033_gr_1,goods_receipt
po_000033_inv_1,invoice
po_000034,purchase_order
po_000034_item_1,item
po_000034_item_2,item
po_000034_item_3,item
product_0123,product
po_000034_gr_1,goods_receipt
po_000034_inv_1,invoice
po_000035,purchase_order
po_000035_item_1,item
po_000035_item_2,item
po_000035_item_3,item
po_000035_item_4,item
po_000035_gr_1,goods_receipt
po_000035_gr_2,goods_receipt
po_000035_inv_1,invoice
po_000035_inv_2,invoice
po_000036,purchase_order
supplier_033,supplier
po_000036_item_1,item
product_0066,product
po_000036_gr_1,goods_receipt
po_000036_inv_1,invoice
po_000037,purchase_order
po_000037_item_1,item
product_0161,product
po_000037_item_2,item
product_0188,product
po_000037_item_3,item
po_000037_item_4,item
product_0116,product
po_000037_gr_1,goods_receipt
po_000037_inv_1,invoice
po_000038,purchase_order
supplier_008,supplier
po_000038_item_1,item
product_0128,product
po_000038_item_2,item
product_0164,product
po_000038_item_3,item
product_0180,product
po_000038_item_4,item
product_0149,product
po_000038_item_5,item
po_000038_gr_1,goods_receipt
po_000038_inv_1,invoice
po_000039,purchase_order
supplier_043,supplier
po_000039_item_1,item
po_000039_item_2,item
product_0039,product
po_000039_gr_1,goods_receipt
po_000039_inv_1,invoice
po_000040,purchase_order
po_000040_item_1,item
po_000040_item_2,item
product_0079,product
po_000040_item_3,item
product_0052,product
po_000040_item_4,item
po_000040_gr_1,goods_receipt
po_000040_inv_1,invoice
po_000041,purchase_order
po_000041_item_1,item
po_000041_gr_1,goods_receipt
po_000041_gr_2,goods_receipt
po_000041_inv_1,invoice
po_000041_inv_2,invoice
po_000042,purchase_order
po_000042_item_1,item
product_0107,product
po_000042_item_2,item
product_0155,product
po_000042_item_3,item
po_000042_item_4,item
product_0160,product
po_000042_gr_1,goods_receipt
po_000042_inv_1,invoice
po_000042_inv_2,invoice
po_000043,purchase_order
po_000043_item_1,item
product_0032,product
po_000043_item_2,item
po_000043_item_3,item
product_0041,product
po_000043_item_4,item
product_0122,product
po_000043_item_5,item
po_000043_gr_1,goods_receipt
po_000043_inv_1,invoice
po_000044,purchase_order
po_000044_item_1,item
product_0082,product
po_000044_item_2,item
product_0133,product
po_000044_gr_1,goods_receipt
po_000044_inv_1,invoice
po_000045,purchase_order
supplier_002,supplier
po_000045_item_1,item
product_0109,product
po_000045_item_2,item
product_0170,product
po_000045_item_3,item
po_000045_gr_1,goods_receipt
po_000045_inv_1,invoice
po_000046,purchase_order
supplier_010,supplier
po_000046_item_1,item
product_0140,product
po_000046_item_2,item
product_0034,product
po_000046_item_3,item
product_0048,product
po_000046_item_4,item
product_0064,product
po_000046_gr_1,goods_receipt
po_000046_inv_1,invoice
po_000047,purchase_order
supplier_047,supplier
cc_015,cost_center
po_000047_item_1,item
product_0028,product
po_000047_item_2,item
po_000047_item_3,item
product_0011,product
po_000047_item_4,item
product_0077,product
po_000047_gr_1,goods_receipt
po_000047_inv_1,invoice
po_000048,purchase_order
po_000048_item_1,item
product_0089,product
po_000048_item_2,item
po_000048_item_3,item
product_0182,product
po_000048_gr_1,goods_receipt
po_000048_inv_1,invoice
po_000048_inv_2,invoice
po_000049,purchase_order
supplier_026,supplier
po_000049_item_1,item
po_000049_gr_1,goods_receipt
po_000049_inv_1,invoice
po_000050,purchase_order
supplier_048,supplier
cc_006,cost_center
po_000050_item_1,item
po_000050_item_2,item
product_0026,product
po_000050_item_3,item
po_000050_item_4,item
po_000050_gr_1,goods_receipt
po_000050_inv_1,invoice
po_000051,purchase_order
po_000051_item_1,item
po_000051_item_2,item
po_000051_item_3,item
po_000051_item_4,item
product_0078,product
po_000051_item_5,item
po_000051_gr_1,goods_receipt
po_000051_inv_1,invoice
po_000052,purchase_order
po_000052_item_1,item
product_0174,product
po_000052_item_2,item
product_0124,product
po_000052_item_3,item
product_0120,product
po_000052_item_4,item
product_0060,product
po_000052_gr_1,goods_receipt
po_000052_inv_1,invoice
po_000053,purchase_order
po_000053_item_1,item
po_000053_item_2,item
product_0135,product
po_000053_item_3,item
product_0131,product
po_000053_gr_1,goods_receipt
po_000053_gr_2,goods_receipt
po_000053_inv_1,invoice
po_000054,purchase_order
po_000054_item_1,item
po_000054_item_2,item
product_0114,product
po_000054_item_3,item
product_0083,product
po_000054_item_4,item
po_000054_item_5,item
po_000054_gr_1,goods_receipt
po_000054_gr_2,goods_receipt
po_000054_inv_1,invoice
po_000055,purchase_order
po_000055_item_1,item
po_000055_item_2,item
product_0195,product
po_000055_item_3,item
po_000055_gr_1,goods_receipt
po_000055_inv_1,invoice
po_000056,purchase_order
po_000056_item_1,item
po_000056_item_2,item
po_000056_item_3,item
po_000056_gr_1,goods_receipt
po_000056_inv_1,invoice
po_000057,purchase_order
po_000057_item_1,item
product_0024,product
po_000057_item_2,item
po_000057_item_3,item
product_0046,product
po_000057_item_4,item
product_0016,product
po_000057_item_5,item
po_000057_gr_1,goods_receipt
po_000057_inv_1,invoice
po_000058,purchase_order
po_000058_item_1,item
product_0178,product
po_000058_item_2,item
product_0171,product
po_000058_gr_1,goods_receipt
po_000058_gr_2,goods_receipt
po_000058_inv_1,invoice
po_000058_inv_2,invoice
po_000059,purchase_order
po_000059_item_1,item
po_000059_item_2,item
po_000059_gr_1,goods_receipt
po_000059_inv_1,invoice
po_000060,purchase_order
po_000060_item_1,item
po_000060_item_2,item
product_0136,product
po_000060_item_3,item
po_000060_item_4,item
po_000060_gr_1,goods_receipt
po_000060_inv_1,invoice
po_000061,purchase_order
po_000061_item_1,item
product_0068,product
po_000061_gr_1,goods_receipt
po_000061_inv_1,invoice
po_000062,purchase_order
supplier_037,supplier
po_000062_item_1,item
product_0172,product
po_000062_item_2,item
product_0194,product
po_000062_item_3,item
product_0086,product
po_000062_item_4,item
product_0098,product
po_000062_gr_1,goods_receipt
po_000062_inv_1,invoice
po_000062_inv_2,invoice
po_000063,purchase_order
po_000063_item_1,item
product_0169,product
po_000063_item_2,item
po_000063_item_3,item
product_0019,product
po_000063_item_4,item
product_0049,product
po_000063_item_5,item
po_000063_gr_1,goods_receipt
po_000063_inv_1,invoice
po_000064,purchase_order
po_000064_item_1,item
po_000064_item_2,item
po_000064_gr_1,goods_receipt
po_000064_inv_1,invoice
po_000065,purchase_order
po_000065_item_1,item
po_000065_gr_1,goods_receipt
po_000065_inv_1,invoice
po_000066,purchase_order
po_000066_item_1,item
product_0190,product
po_000066_item_2,item
po_000066_gr_1,goods_receipt
po_000066_inv_1,invoice
po_000067,purchase_order
supplier_041,supplier
po_000067_item_1,item
product_0003,product
po_000067_item_2,item
po_000067_item_3,item
po_000067_gr_1,goods_receipt
po_000067_inv_1,invoice
po_000068,purchase_order
po_000068_item_1,item
product_0022,product
po_000068_item_2,item
po_000068_item_3,item
po_000068_gr_1,goods_receipt
po_000068_inv_1,invoice
po_000069,purchase_order
supplier_038,supplier
po_000069_item_1,item
po_000069_item_2,item
po_000069_item_3,item
product_0145,product
po_000069_item_4,item
po_000069_gr_1,goods_receipt
po_000069_inv_1,invoice
po_000070,purchase_order
supplier_035,supplier
po_000070_item_1,item
po_000070_gr_1,goods_receipt
po_000070_inv_1,invoice
po_000071,purchase_order
po_000071_item_1,item
po_000071_item_2,item
product_0126,product
po_000071_item_3,item
po_000071_item_4,item
product_0158,product
po_000071_gr_1,goods_receipt
po_000071_gr_2,goods_receipt
po_000071_inv_1,invoice
po_000072,purchase_order
supplier_046,supplier
po_000072_item_1,item
po_000072_gr_1,goods_receipt
po_000072_inv_1,invoice
po_000073,purchase_order
po_000073_item_1,item
product_0144,product
po_000073_item_2,item
po_000073_gr_1,goods_receipt
po_000073_inv_1,invoice
po_000074,purchase_order
po_000074_item_1,item
product_0091,product
po_000074_item_2,item
po_000074_item_3,item
po_000074_item_4,item
po_000074_gr_1,goods_receipt
po_000074_inv_1,invoice
po_000075,purchase_order
po_000075_item_1,item
po_000075_item_2,item
po_000075_gr_1,goods_receipt
po_000075_inv_1,invoice
po_000076,purchase_order
po_000076_item_1,item
po_000076_item_2,item
product_0162,product
po_000076_item_3,item
product_0159,product
po_000076_item_4,item
po_000076_item_5,item
po_000076_gr_1,goods_receipt
po_000076_inv_1,invoice
po_000077,purchase_order
po_000077_item_1,item
product_0137,product
po_000077_item_2,item
product_0105,product
po_000077_item_3,item
po_000077_item_4,item
po_000077_item_5,item
po_000077_gr_1,goods_receipt
po_000077_inv_1,invoice
po_000078,purchase_order
po_000078_item_1,item
product_0043,product
po_000078_item_2,item
po_000078_gr_1,goods_receipt
po_000078_inv_1,invoice
po_000079,purchase_order
po_000079_item_1,item
product_0054,product
po_000079_item_2,item
po_000079_item_3,item
product_0020,product
po_000079_item_4,item
po_000079_gr_1,goods_receipt
po_000079_gr_2,goods_receipt
po_000079_inv_1,invoice
po_000080,purchase_order
po_000080_item_1,item
po_000080_item_2,item
po_000080_item_3,item
product_0031,product
po_000080_gr_1,goods_receipt
po_000080_inv_1,invoice
po_000081,purchase_order
po_000081_item_1,item
po_000081_item_2,item
product_0072,product
po_000081_gr_1,goods_receipt
po_000081_inv_1,invoice
po_000081_inv_2,invoice
po_000082,purchase_order
po_000082_item_1,item
po_000082_gr_1,goods_receipt
po_000082_inv_1,invoice
po_000083,purchase_order
supplier_028,supplier
po_000083_item_1,item
po_000083_item_2,item
po_000083_item_3,item
product_0014,product
po_000083_item_4,item
po_000083_gr_1,goods_receipt
po_000083_gr_2,goods_receipt
po_000083_inv_1,invoice
po_000084,purchase_order
po_000084_item_1,item
po_000084_item_2,item
product_0132,product
po_000084_item_3,item
po_000084_item_4,item
po_000084_gr_1,goods_receipt
po_000084_inv_1,invoice
po_000085,purchase_order
supplier_023,supplier
po_000085_item_1,item
po_000085_gr_1,goods_receipt
po_000085_inv_1,invoice
po_000086,purchase_order
po_000086_item_1,item
product_0065,product
po_000086_item_2,item
product_0179,product
po_000086_gr_1,goods_receipt
po_000086_inv_1,invoice
po_000087,purchase_order
supplier_020,supplier
po_000087_item_1,item
po_000087_item_2,item
po_000087_item_3,item
product_0061,product
po_000087_item_4,item
po_000087_item_5,item
po_000087_gr_1,goods_receipt
po_000087_inv_1,invoice
po_000088,purchase_order
po_000088_item_1,item
po_000088_item_2,item
po_000088_gr_1,goods_receipt
po_000088_inv_1,invoice
po_000088_inv_2,invoice
po_000089,purchase_order
po_000089_item_1,item
po_000089_item_2,item
po_000089_item_3,item
product_0037,product
po_000089_gr_1,goods_receipt
po_000089_inv_1,invoice
po_000090,purchase_order
supplier_016,supplier
po_000090_item_1,item
po_000090_item_2,item
po_000090_gr_1,goods_receipt
po_000090_inv_1,invoice
po_000091,purchase_order
po_000091_item_1,item
product_0007,product
po_000091_item_2,item
po_000091_item_3,item
product_0146,product
po_000091_item_4,item
po_000091_gr_1,goods_receipt
po_000091_inv_1,invoice
po_000092,purchase_order
po_000092_item_1,item
po_000092_item_2,item
product_0013,product
po_000092_item_3,item
po_000092_item_4,item
po_000092_gr_1,goods_receipt
po_000092_inv_1,invoice
po_000093,purchase_order
po_000093_item_1,item
po_000093_item_2,item
po_000093_item_3,item
po_000093_item_4,item
product_0200,product
po_000093_gr_1,goods_receipt
po_000093_inv_1,invoice
po_000094,purchase_order
po_000094_item_1,item
po_000094_item_2,item
po_000094_item_3,item
product_0081,product
po_000094_item_4,item
po_000094_gr_1,goods_receipt
po_000094_gr_2,goods_receipt
po_000094_inv_1,invoice
po_000095,purchase_order
po_000095_item_1,item
po_000095_item_2,item
po_000095_item_3,item
product_0150,product
po_000095_gr_1,goods_receipt
po_000095_inv_1,invoice
po_000096,purchase_order
po_000096_item_1,item
po_000096_item_2,item
po_000096_item_3,item
po_000096_gr_1,goods_receipt
po_000096_inv_1,invoice
po_000097,purchase_order
po_000097_item_1,item
po_000097_gr_1,goods_receipt
po_000097_inv_1,invoice
po_000098,purchase_order
po_000098_item_1,item
po_000098_gr_1,goods_receipt
po_000098_gr_2,goods_receipt
po_000098_inv_1,invoice
po_000099,purchase_order
po_000099_item_1,item
po_000099_gr_1,goods_receipt
po_000099_inv_1,invoice
po_000100,purchase_order
po_000100_item_1,item
product_0067,product
po_000100_item_2,item
po_000100_item_3,item
po_000100_item_4,item
po_000100_item_5,item
po_000100_gr_1,goods_receipt
po_000100_inv_1,invoice
po_000101,purchase_order
supplier_017,supplier
po_000101_item_1,item
po_000101_item_2,item
po_000101_item_3,item
po_000101_item_4,item
po_000101_gr_1,goods_receipt
po_000101_inv_1,invoice
po_000102,purchase_order
po_000102_item_1,item
product_0001,product
po_000102_gr_1,goods_receipt
po_000102_inv_1,invoice
po_000103,purchase_order
po_000103_item_1,item
po_000103_item_2,item
product_0175,product
po_000103_gr_1,goods_receipt
po_000103_inv_1,invoice
po_000104,purchase_order
po_000104_item_1,item
po_000104_item_2,item
po_000104_item_3,item
po_000104_item_4,item
po_000104_gr_1,goods_receipt
po_000104_inv_1,invoice
po_000105,purchase_order
po_000105_item_1,item
product_0021,product
po_000105_item_2,item
product_0186,product
po_000105_gr_1,goods_receipt
po_000105_gr_2,goods_receipt
po_000105_inv_1,invoice
po_000106,purchase_order
po_000106_item_1,item
po_000106_item_2,item
po_000106_item_3,item
po_000106_item_4,item
product_0010,product
po_000106_item_5,item
po_000106_gr_1,goods_receipt
po_000106_inv_1,invoice
po_000107,purchase_order
po_000107_item_1,item
po_000107_item_2,item
po_000107_item_3,item
po_000107_item_4,item
po_000107_gr_1,goods_receipt
po_000107_inv_1,invoice
po_000107_inv_2,invoice
po_000108,purchase_order
po_000108_item_1,item
product_0104,product
po_000108_item_2,item
po_000108_item_3,item
po_000108_item_4,item
po_000108_item_5,item
po_000108_gr_1,goods_receipt
po_000108_inv_1,invoice
po_000108_inv_2,invoice
po_000109,purchase_order
po_000109_item_1,item
po_000109_item_2,item
po_000109_item_3,item
po_000109_gr_1,goods_receipt
po_000109_inv_1,invoice
po_000110,purchase_order
po_000110_item_1,item
po_000110_gr_1,goods_receipt
po_000110_inv_1,invoice
po_000111,purchase_order
po_000111_item_1,item
product_0063,product
po_000111_item_2,item
po_000111_item_3,item
po_000111_item_4,item
po_000111_item_5,item
po_000111_gr_1,goods_receipt
po_000111_inv_1,invoice
po_000112,purchase_order
po_000112_item_1,item
po_000112_item_2,item
po_000112_item_3,item
po_000112_gr_1,goods_receipt
po_000112_inv_1,invoice
po_000113,purchase_order
supplier_030,supplier
po_000113_item_1,item
po_000113_item_2,item
product_0143,product
po_000113_item_3,item
po_000113_item_4,item
po_000113_item_5,item
po_000113_gr_1,goods_receipt
po_000113_gr_2,goods_receipt
po_000113_inv_1,invoice
po_000114,purchase_order
supplier_005,supplier
po_000114_item_1,item
po_000114_item_2,item
po_000114_item_3,item
po_000114_gr_1,goods_receipt
po_000114_inv_1,invoice
po_000114_inv_2,invoice
po_000115,purchase_order
po_000115_item_1,item
po_000115_item_2,item
po_000115_item_3,item
po_000115_item_4,item
po_000115_item_5,item
po_000115_gr_1,goods_receipt
po_000115_inv_1,invoice
po_000116,purchase_order
po_000116_item_1,item
po_000116_item_2,item
po_000116_gr_1,goods_receipt
po_000116_inv_1,invoice
po_000117,purchase_order
po_000117_item_1,item
po_000117_gr_1,goods_receipt
po_000117_gr_2,goods_receipt
po_000117_inv_1,invoice
po_000117_inv_2,invoice
po_000118,purchase_order
po_000118_item_1,item
po_000118_gr_1,goods_receipt
po_000118_inv_1,invoice
po_000119,purchase_order
supplier_021,supplier
po_000119_item_1,item
po_000119_item_2,item
po_000119_item_3,item
po_000119_item_4,item
po_000119_gr_1,goods_receipt
po_000119_inv_1,invoice
po_000120,purchase_order
po_000120_item_1,item
po_000120_item_2,item
po_000120_item_3,item
product_0139,product
po_000120_item_4,item
po_000120_item_5,item
product_0167,product
po_000120_gr_1,goods_receipt
po_000120_inv_1,invoice
po_000121,purchase_order
po_000121_item_1,item
po_000121_item_2,item
product_0125,product
po_000121_gr_1,goods_receipt
po_000121_inv_1,invoice
po_000121_inv_2,invoice
po_000122,purchase_order
po_000122_item_1,item
product_0102,product
po_000122_gr_1,goods_receipt
po_000122_inv_1,invoice
po_000122_inv_2,invoice
po_000123,purchase_order
po_000123_item_1,item
po_000123_item_2,item
po_000123_item_3,item
po_000123_item_4,item
po_000123_item_5,item
po_000123_gr_1,goods_receipt
po_000123_inv_1,invoice
po_000124,purchase_order
po_000124_item_1,item
po_000124_item_2,item
po_000124_item_3,item
product_0042,product
po_000124_item_4,item
product_0189,product
po_000124_item_5,item
product_0027,product
po_000124_gr_1,goods_receipt
po_000124_inv_1,invoice
po_000124_inv_2,invoice
po_000125,purchase_order
po_000125_item_1,item
po_000125_item_2,item
po_000125_item_3,item
po_000125_gr_1,goods_receipt
po_000125_inv_1,invoice
po_000126,purchase_order
po_000126_item_1,item
po_000126_item_2,item
po_000126_item_3,item
product_0029,product
po_000126_item_4,item
po_000126_gr_1,goods_receipt
po_000126_gr_2,goods_receipt
po_000126_inv_1,invoice
po_000127,purchase_order
po_000127_item_1,item
po_000127_item_2,item
po_000127_gr_1,goods_receipt
po_000127_inv_1,invoice
po_000128,purchase_order
po_000128_item_1,item
po_000128_item_2,item
product_0108,product
po_000128_item_3,item
po_000128_item_4,item
po_000128_gr_1,goods_receipt
po_000128_inv_1,invoice
po_000129,purchase_order
po_000129_item_1,item
po_000129_item_2,item
product_0069,product
po_000129_item_3,item
po_000129_item_4,item
po_000129_item_5,item
po_000129_gr_1,goods_receipt
po_000129_inv_1,invoice
po_000129_inv_2,invoice
po_000130,purchase_order
po_000130_item_1,item
po_000130_item_2,item
po_000130_item_3,item
po_000130_gr_1,goods_receipt
po_000130_gr_2,goods_receipt
po_000130_inv_1,invoice
po_000131,purchase_order
po_000131_item_1,item
po_000131_item_2,item
po_000131_item_3,item
po_000131_gr_1,goods_receipt
po_000131_inv_1,invoice
po_000131_inv_2,invoice
po_000132,purchase_order
po_000132_item_1,item
po_000132_item_2,item
po_000132_item_3,item
po_000132_gr_1,goods_receipt
po_000132_inv_1,invoice
po_000133,purchase_order
po_000133_item_1,item
po_000133_gr_1,goods_receipt
po_000133_inv_1,invoice
po_000134,purchase_order
po_000134_item_1,item
product_0119,product
po_000134_item_2,item
po_000134_gr_1,goods_receipt
po_000134_inv_1,invoice
po_000135,purchase_order
po_000135_item_1,item
po_000135_item_2,item
po_000135_item_3,item
po_000135_item_4,item
po_000135_item_5,item
product_0056,product
po_000135_gr_1,goods_receipt
po_000135_inv_1,invoice
po_000136,purchase_order
po_000136_item_1,item
po_000136_item_2,item
po_000136_gr_1,goods_receipt
po_000136_inv_1,invoice
po_000137,purchase_order
po_000137_item_1,item
po_000137_item_2,item
product_0094,product
po_000137_item_3,item
po_000137_gr_1,goods_receipt
po_000137_inv_1,invoice
po_000138,purchase_order
po_000138_item_1,item
po_000138_item_2,item
po_000138_item_3,item
product_0038,product
po_000138_item_4,item
po_000138_gr_1,goods_receipt
po_000138_inv_1,invoice
po_000139,purchase_order
po_000139_item_1,item
po_000139_item_2,item
po_000139_gr_1,goods_receipt
po_000139_inv_1,invoice
po_000140,purchase_order
po_000140_item_1,item
po_000140_item_2,item
po_000140_item_3,item
po_000140_gr_1,goods_receipt
po_000140_gr_2,goods_receipt
po_000140_inv_1,invoice
po_000141,purchase_order
po_000141_item_1,item
po_000141_item_2,item
po_000141_gr_1,goods_receipt
po_000141_inv_1,invoice
po_000142,purchase_order
po_000142_item_1,item
po_000142_item_2,item
po_000142_item_3,item
po_000142_item_4,item
po_000142_gr_1,goods_receipt
po_000142_inv_1,invoice
po_000143,purchase_order
po_000143_item_1,item
po_000143_item_2,item
po_000143_item_3,item
po_000143_gr_1,goods_receipt
po_000143_inv_1,invoice
po_000144,purchase_order
po_000144_item_1,item
po_000144_item_2,item
po_000144_item_3,item
po_000144_item_4,item
po_000144_gr_1,goods_receipt
po_000144_inv_1,invoice
po_000145,purchase_order
po_000145_item_1,item
po_000145_item_2,item
po_000145_gr_1,goods_receipt
po_000145_gr_2,goods_receipt
po_000145_inv_1,invoice
po_000146,purchase_order
po_000146_item_1,item
product_0087,product
po_000146_item_2,item
product_0070,product
po_000146_item_3,item
po_000146_item_4,item
po_000146_item_5,item
po_000146_gr_1,goods_receipt
po_000146_inv_1,invoice
po_000147,purchase_order
po_000147_item_1,item
po_000147_gr_1,goods_receipt
po_000147_inv_1,invoice
po_000148,purchase_order
po_000148_item_1,item
po_000148_item_2,item
po_000148_gr_1,goods_receipt
po_000148_inv_1,invoice
po_000149,purchase_order
po_000149_item_1,item
po_000149_item_2,item
po_000149_item_3,item
po_000149_item_4,item
po_000149_gr_1,goods_receipt
po_000149_inv_1,invoice
po_000150,purchase_order
po_000150_item_1,item
po_000150_item_2,item
po_000150_item_3,item
product_0130,product
po_000150_item_4,item
po_000150_gr_1,goods_receipt
po_000150_inv_1,invoice
