ocel:eid,ocel:activity,ocel:timestamp,execution_mode
e_000000079,Approve Purchase Order,2026-01-05 13:56:00,human_in_loop
e_000000080,Send Purchase Order,2026-01-05 14:56:00,automated
e_000000081,Receive Goods,2026-01-09 14:56:00,automated
e_000000082,Record Goods Receipt,2026-01-10 00:56:00,manual
e_000000083,Receive Invoice,2026-01-15 00:56:00,automated
e_000000084,Match Invoice,2026-01-15 16:56:00,manual
e_000000085,Approve Invoice,2026-01-16 12:56:00,human_in_loop
e_000000086,Pay Invoice,2026-01-21 12:56:00,automated
e_000000087,Create Purchase Order,2026-01-02 07:43:00,automated
e_000000088,Approve Purchase Order,2026-01-02 10:43:00,manual
e_000000089,Send Purchase Order,2026-01-02 14:43:00,automated
e_000000090,Receive Goods,2026-01-06 14:43:00,manual
e_000000091,Record Goods Receipt,2026-01-06 18:43:00,manual
e_000000092,Receive Invoice,2026-01-09 18:43:00,automated
e_000000093,Match Invoice,2026-01-10 10:43:00,manual
e_000000094,Approve Invoice,2026-01-10 19:43:00,human_in_loop
e_000000095,Pay Invoice,2026-01-20 19:43:00,automated
e_000000096,Create Purchase Order,2026-01-03 01:59:00,automated
e_000000097,Approve Purchase Order,2026-01-03 06:59:00,manual
e_000000098,Send Purchase Order,2026-01-03 10:59:00,automated
e_000000099,Receive Goods,2026-01-07 10:59:00,human_in_loop
e_000000100,Record Goods Receipt,2026-01-07 19:59:00,manual
e_000000101,Receive Invoice,2026-01-11 19:59:00,manual
e_000000102,Match Invoice,2026-01-19 22:59:00,ai_assisted
e_000000103,Approve Invoice,2026-01-20 19:59:00,manual
e_000000104,Pay Invoice,2026-01-22 19:59:00,manual
e_000000105,Create Purchase Order,2026-01-04 06:51:00,automated
e_000000106,Request Purchase Order Change,2026-01-04 11:51:00,manual
e_000000107,Update Purchase Order,2026-01-04 22:51:00,manual
e_000000108,Approve Purchase Order,2026-01-05 06:51:00,human_in_loop
e_000000109,Send Purchase Order,2026-01-05 10:51:00,manual
e_000000110,Receive Goods,2026-01-08 10:51:00,manual
e_000000111,Record Goods Receipt,2026-01-08 12:51:00,ai_assisted
e_000000112,Receive Invoice,2026-01-11 12:51:00,automated
e_000000113,Match Invoice,2026-01-12 05:51:00,manual
e_000000114,Approve Invoice,2026-01-12 19:51:00,automated
e_000000115,Pay Invoice,2026-01-21 19:51:00,manual
e_000000116,Create Purchase Order,2026-01-04 10:04:00,automated
e_000000117,Approve Purchase Order,2026-01-04 11:04:00,manual
e_000000118,Send Purchase Order,2026-01-04 14:04:00,automated
e_000000119,Receive Goods,2026-01-08 14:04:00,automated
e_000000120,Record Goods Receipt,2026-01-08 15:04:00,manual
e_000000121,Receive Invoice,2026-01-13 15:04:00,manual
e_000000122,Match Invoice,2026-01-14 02:04:00,manual
e_000000123,Approve Invoice,2026-01-15 02:04:00,manual
e_000000124,Pay Invoice,2026-01-16 02:04:00,human_in_loop
e_000000125,Create Purchase Order,2026-01-01 23:29:00,automated
e_000000126,Approve Purchase Order,2026-01-02 01:29:00,manual
e_000000127,Send Purchase Order,2026-01-02 03:29:00,automated
e_000000128,Receive Goods,2026-01-05 03:29:00,manual
e_000000129,Record Goods Receipt,2026-01-05 08:29:00,manual
e_000000130,Receive Goods,2026-01-09 08:29:00,human_in_loop
e_000000131,Record Goods Receipt,2026-01-09 12:29:00,manual
e_000000132,Receive Invoice,2026-01-11 12:29:00,automated
e_000000133,Match Invoice,2026-01-12 09:29:00,automated
e_000000134,Approve Invoice,2026-01-12 15:29:00,ai_assisted
e_000000135,Pay Invoice,2026-01-17 15:29:00,automated
e_000000136,Create Purchase Order,2026-01-05 02:06:00,automated
e_000000137,Approve Purchase Order,2026-01-05 05:06:00,manual
e_000000138,Send Purchase Order,2026-01-05 09:06:00,manual
e_000000139,Receive Goods,2026-01-10 09:06:00,automated
e_000000140,Record Goods Receipt,2026-01-10 16:06:00,manual
e_000000141,Receive Goods,2026-01-13 16:06:00,ai_assisted
e_000000142,Record Goods Receipt,2026-01-13 20:06:00,automated
e_000000143,Receive Invoice,2026-01-15 20:06:00,automated
e_000000144,Match Invoice,2026-01-16 11:06:00,manual
e_000000145,Approve Invoice,2026-01-17 04:06:00,automated
e_000000146,Pay Invoice,2026-01-24 04:06:00,automated
e_000000147,Create Purchase Order,2026-01-04 07:48:00,ai_assisted
e_000000148,Request Purchase Order Change,2026-01-04 08:48:00,automated
e_000000149,Update Purchase Order,2026-01-04 16:48:00,ai_assisted
e_000000150,Approve Purchase Order,2026-01-04 19:48:00,manual
e_000000151,Send Purchase Order,2026-01-04 22:48:00,manual
e_000000152,Receive Goods,2026-01-08 22:48:00,automated
e_000000153,Record Goods Receipt,2026-01-09 04:48:00,ai_assisted
e_000000154,Receive Invoice,2026-01-16 04:48:00,automated
e_000000155,Match Invoice,2026-01-16 16:48:00,automated
e_000000156,Approve Invoice,2026-01-17 09:48:00,ai_assisted
e_000000157,Pay Invoice,2026-01-18 09:48:00,automated
e_000000158,Create Purchase Order,2026-01-01 21:43:00,automated
e_000000159,Approve Purchase Order,2026-01-02 02:43:00,human_in_loop
e_000000160,Send Purchase Order,2026-01-02 03:43:00,manual
e_000000161,Receive Goods,2026-01-03 03:43:00,manual
e_000000162,Record Goods Receipt,2026-01-03 09:43:00,manual
e_000000163,Receive Invoice,2026-01-05 09:43:00,automated
e_000000164,Match Invoice,2026-01-10 05:43:00,manual
e_000000165,Approve Invoice,2026-01-10 09:43:00,manual
e_000000166,Pay Invoice,2026-01-17 09:43:00,automated
e_000000167,Create Purchase Order,2026-01-03 23:31:00,ai_assisted
e_000000168,Approve Purchase Order,2026-01-04 02:31:00,manual
e_000000169,Send Purchase Order,2026-01-04 05:31:00,human_in_loop
e_000000170,Receive Goods,2026-01-07 05:31:00,automated
e_000000171,Record Goods Receipt,2026-01-07 12:31:00,automated
e_000000172,Receive Invoice,2026-01-11 12:31:00,automated
e_000000173,Match Invoice,2026-01-11 20:31:00,human_in_loop
e_000000174,Approve Invoice,2026-01-12 13:31:00,manual
e_000000175,Pay Invoice,2026-01-19 13:31:00,automated
e_000000176,Create Purchase Order,2026-01-01 14:41:00,ai_assisted
e_000000177,Approve Purchase Order,2026-01-01 22:41:00,automated
e_000000178,Send Purchase Order,2026-01-02 01:41:00,automated
e_000000179,Receive Goods,2026-01-04 01:41:00,automated
e_000000180,Record Goods Receipt,2026-01-04 07:41:00,manual
e_000000181,Receive Invoice,2026-01-06 07:41:00,automated
e_000000182,Match Invoice,2026-01-11 06:41:00,automated
e_000000183,Resolve Invoice Mismatch,2026-01-13 02:41:00,manual
e_000000184,Match Invoice,2026-01-13 13:41:00,ai_assisted
e_000000185,Approve Invoice,2026-01-13 16:41:00,manual
e_000000186,Pay Invoice,2026-01-16 16:41:00,manual
e_000000187,Create Purchase Order,2026-01-02 21:12:00,automated
e_000000188,Approve Purchase Order,2026-01-03 02:12:00,human_in_loop
e_000000189,Send Purchase Order,2026-01-03 06:12:00,human_in_loop
e_000000190,Receive Goods,2026-01-06 06:12:00,automated
e_000000191,Record Goods Receipt,2026-01-06 12:12:00,automated
e_000000192,Receive Invoice,2026-01-10 12:12:00,human_in_loop
e_000000193,Match Invoice,2026-01-10 18:12:00,ai_assisted
e_000000194,Approve Invoice,2026-01-11 03:12:00,ai_assisted
e_000000195,Pay Invoice,2026-01-18 03:12:00,human_in_loop
e_000000196,Create Purchase Order,2026-01-04 15:48:00,automated
e_000000197,Approve Purchase Order,2026-01-04 21:48:00,manual
e_000000198,Send Purchase Order,2026-01-04 23:48:00,automated
e_000000199,Receive Goods,2026-01-09 23:48:00,ai_assisted
e_000000200,Record Goods Receipt,2026-01-10 08:48:00,manual
e_000000201,Receive Invoice,2026-01-15 08:48:00,manual
e_000000202,Match Invoice,2026-01-15 12:48:00,automated
e_000000203,Resolve Invoice Mismatch,2026-01-16 21:48:00,human_in_loop
e_000000204,Match Invoice,2026-01-17 08:48:00,automated
e_000000205,Approve Invoice,2026-01-17 13:48:00,manual
e_000000206,Pay Invoice,2026-01-18 13:48:00,manual
e_000000207,Create Purchase Order,2026-01-04 09:45:00,automated
e_000000208,Approve Purchase Order,2026-01-04 12:45:00,ai_assisted
e_000000209,Send Purchase Order,2026-01-04 18:45:00,manual
e_000000210,Receive Goods,2026-01-08 18:45:00,automated
e_000000211,Record Goods Receipt,2026-01-08 23:45:00,manual
e_000000212,Receive Invoice,2026-01-11 23:45:00,manual
e_000000213,Match Invoice,2026-01-12 15:45:00,human_in_loop
e_000000214,Approve Invoice,2026-01-13 04:45:00,manual
e_000000215,Pay Invoice,2026-01-19 04:45:00,automated
e_000000216,Create Purchase Order,2026-01-04 23:18:00,automated
e_000000217,Approve Purchase Order,2026-01-05 00:18:00,manual
e_000000218,Send Purchase Order,2026-01-05 03:18:00,manual
e_000000219,Receive Goods,2026-01-07 03:18:00,automated
e_000000220,Record Goods Receipt,2026-01-07 07:18:00,manual
e_000000221,Receive Invoice,2026-01-14 07:18:00,automated
e_000000222,Match Invoice,2026-01-20 03:18:00,ai_assisted
e_000000223,Approve Invoice,2026-01-20 12:18:00,manual
e_000000224,Pay Invoice,2026-01-23 12:18:00,automated
e_000000225,Create Purchase Order,2026-01-01 11:31:00,manual
e_000000226,Approve Purchase Order,2026-01-01 17:31:00,automated
e_000000227,Send Purchase Order,2026-01-01 19:31:00,automated
e_000000228,Receive Goods,2026-01-02 19:31:00,manual
e_000000229,Record Goods Receipt,2026-01-02 20:31:00,manual
e_000000230,Receive Goods,2026-01-06 20:31:00,manual
e_000000231,Record Goods Receipt,2026-01-06 22:31:00,manual
e_000000232,Receive Invoice,2026-01-13 22:31:00,automated
e_000000233,Match Invoice,2026-01-17 18:31:00,automated
e_000000234,Resolve Invoice Mismatch,2026-01-18 12:31:00,human_in_loop
e_000000235,Match Invoice,2026-01-18 15:31:00,ai_assisted
e_000000236,Approve Invoice,2026-01-19 14:31:00,manual
e_000000237,Pay Invoice,2026-01-27 14:31:00,automated
e_000000238,Create Purchase Order,2026-01-01 19:01:00,manual
e_000000239,Approve Purchase Order,2026-01-01 22:01:00,manual
e_000000240,Send Purchase Order,2026-01-02 01:01:00,automated
e_000000241,Receive Goods,2026-01-07 01:01:00,manual
e_000000242,Record Goods Receipt,2026-01-07 07:01:00,manual
e_000000243,Receive Invoice,2026-01-12 07:01:00,automated
e_000000244,Match Invoice,2026-01-12 23:01:00,automated
e_000000245,Approve Invoice,2026-01-13 14:01:00,manual
e_000000246,Pay Invoice,2026-01-15 14:01:00,automated
e_000000247,Create Purchase Order,2026-01-01 20:58:00,manual
e_000000248,Approve Purchase Order,2026-01-02 02:58:00,manual
e_000000249,Send Purchase Order,2026-01-02 05:58:00,human_in_loop
e_000000250,Receive Goods,2026-01-06 05:58:00,manual
e_000000251,Record Goods Receipt,2026-01-06 07:58:00,manual
e_000000252,Receive Invoice,2026-01-07 07:58:00,automated
e_000000253,Match Invoice,2026-01-07 20:58:00,ai_assisted
e_000000254,Approve Invoice,2026-01-08 15:58:00,manual
e_000000255,Pay Invoice,2026-01-17 15:58:00,automated
e_000000256,Create Purchase Order,2026-01-03 02:39:00,automated
e_000000257,Approve Purchase Order,2026-01-03 06:39:00,manual
e_000000258,Send Purchase Order,2026-01-03 10:39:00,manual
e_000000259,Receive Goods,2026-01-04 10:39:00,manual
e_000000260,Record Goods Receipt,2026-01-04 19:39:00,manual
e_000000261,Receive Invoice,2026-01-11 19:39:00,manual
e_000000262,Match Invoice,2026-01-20 04:39:00,ai_assisted
e_000000263,Approve Invoice,2026-01-21 01:39:00,manual
e_000000264,Pay Invoice,2026-01-30 01:39:00,manual
e_000000265,Create Purchase Order,2026-01-05 01:44:00,automated
e_000000266,Approve Purchase Order,2026-01-05 04:44:00,automated
e_000000267,Send Purchase Order,2026-01-05 05:44:00,manual
e_000000268,Receive Goods,2026-01-10 05:44:00,manual
e_000000269,Record Goods Receipt,2026-01-10 12:44:00,manual
e_000000270,Receive Invoice,2026-01-12 12:44:00,automated
e_000000271,Match Invoice,2026-01-16 00:44:00,ai_assisted
e_000000272,Approve Invoice,2026-01-16 06:44:00,manual
e_000000273,Pay Invoice,2026-01-26 06:44:00,manual
e_000000274,Create Purchase Order,2026-01-03 18:41:00,manual
e_000000275,Approve Purchase Order,2026-01-04 02:41:00,manual
e_000000276,Send Purchase Order,2026-01-04 05:41:00,manual
e_000000277,Receive Goods,2026-01-08 05:41:00,human_in_loop
e_000000278,Record Goods Receipt,2026-01-08 06:41:00,manual
e_000000279,Receive Invoice,2026-01-11 06:41:00,ai_assisted
e_000000280,Match Invoice,2026-01-11 12:41:00,ai_assisted
e_000000281,Approve Invoice,2026-01-11 23:41:00,manual
e_000000282,Pay Invoice,2026-01-12 23:41:00,automated
e_000000283,Create Purchase Order,2026-01-01 13:46:00,automated
e_000000284,Approve Purchase Order,2026-01-01 21:46:00,human_in_loop
e_000000285,Send Purchase Order,2026-01-02 00:46:00,automated
e_000000286,Receive Goods,2026-01-07 00:46:00,manual
e_000000287,Record Goods Receipt,2026-01-07 07:46:00,manual
e_000000288,Receive Invoice,2026-01-11 07:46:00,manual
e_000000289,Match Invoice,2026-01-11 19:46:00,manual
e_000000290,Approve Invoice,2026-01-12 16:46:00,manual
e_000000291,Pay Invoice,2026-01-18 16:46:00,manual
e_000000292,Create Purchase Order,2026-01-02 06:57:00,manual
e_000000293,Approve Purchase Order,2026-01-02 08:57:00,manual
e_000000294,Send Purchase Order,2026-01-02 10:57:00,ai_assisted
e_000000295,Receive Goods,2026-01-05 10:57:00,manual
e_000000296,Record Goods Receipt,2026-01-05 13:57:00,manual
e_000000297,Receive Invoice,2026-01-07 13:57:00,manual
e_000000298,Match Invoice,2026-01-07 20:57:00,automated
e_000000299,Approve Invoice,2026-01-08 18:57:00,manual
e_000000300,Pay Invoice,2026-01-16 18:57:00,automated
e_000000301,Create Purchase Order,2026-01-04 21:38:00,manual
e_000000302,Approve Purchase Order,2026-01-05 05:38:00,manual
e_000000303,Send Purchase Order,2026-01-05 09:38:00,automated
e_000000304,Receive Goods,2026-01-08 09:38:00,automated
e_000000305,Record Goods Receipt,2026-01-08 15:38:00,manual
e_000000306,Receive Invoice,2026-01-11 15:38:00,automated
e_000000307,Match Invoice,2026-01-11 18:38:00,manual
e_000000308,Approve Invoice,2026-01-12 05:38:00,manual
e_000000309,Pay Invoice,2026-01-14 05:38:00,automated
e_000000310,Create Purchase Order,2026-01-02 09:42:00,manual
e_000000311,Approve Purchase Order,2026-01-08 17:42:00,manual
e_000000312,Send Purchase Order,2026-01-08 18:42:00,automated
e_000000313,Receive Goods,2026-01-11 18:42:00,human_in_loop
e_000000314,Record Goods Receipt,2026-01-11 20:42:00,manual
e_000000315,Receive Invoice,2026-01-13 20:42:00,manual
e_000000316,Match Invoice,2026-01-14 20:42:00,manual
e_000000317,Approve Invoice,2026-01-15 12:42:00,manual
e_000000318,Pay Invoice,2026-01-25 12:42:00,manual
e_000000319,Create Purchase Order,2026-01-03 05:00:00,manual
e_000000320,Approve Purchase Order,2026-01-07 12:00:00,manual
e_000000321,Send Purchase Order,2026-01-07 18:00:00,human_in_loop
e_000000322,Receive Goods,2026-01-12 18:00:00,ai_assisted
e_000000323,Record Goods Receipt,2026-01-13 00:00:00,manual
e_000000324,Receive Invoice,2026-01-19 00:00:00,manual
e_000000325,Match Invoice,2026-01-19 13:00:00,manual
e_000000326,Approve Invoice,2026-01-20 11:00:00,manual
e_000000327,Pay Invoice,2026-01-27 11:00:00,manual
e_000000328,Receive Invoice,2026-02-02 11:00:00,ai_assisted
e_000000329,Match Invoice,2026-02-02 22:00:00,automated
e_000000330,Approve Invoice,2026-02-03 20:00:00,automated
e_000000331,Pay Invoice,2026-02-06 20:00:00,automated
e_000000332,Create Purchase Order,2026-01-04 02:23:00,manual
e_000000333,Approve Purchase Order,2026-01-04 05:23:00,manual
e_000000334,Send Purchase Order,2026-01-04 08:23:00,automated
e_000000335,Receive Goods,2026-01-05 08:23:00,manual
e_000000336,Record Goods Receipt,2026-01-05 17:23:00,automated
e_000000337,Receive Goods,2026-01-10 17:23:00,manual
e_000000338,Record Goods Receipt,2026-01-10 23:23:00,ai_assisted
e_000000339,Receive Invoice,2026-01-15 23:23:00,manual
e_000000340,Match Invoice,2026-01-16 13:23:00,manual
e_000000341,Approve Invoice,2026-01-16 20:23:00,automated
e_000000342,Pay Invoice,2026-01-26 20:23:00,automated
e_000000343,Create Purchase Order,2026-01-03 21:17:00,manual
e_000000344,Request Purchase Order Change,2026-01-04 01:17:00,manual
e_000000345,Update Purchase Order,2026-01-04 10:17:00,human_in_loop
e_000000346,Approve Purchase Order,2026-01-04 14:17:00,manual
e_000000347,Send Purchase Order,2026-01-04 19:17:00,human_in_loop
e_000000348,Receive Goods,2026-01-08 19:17:00,automated
e_000000349,Record Goods Receipt,2026-01-09 02:17:00,manual
e_000000350,Receive Invoice,2026-01-13 02:17:00,human_in_loop
e_000000351,Match Invoice,2026-01-13 10:17:00,ai_assisted
e_000000352,Approve Invoice,2026-01-13 16:17:00,ai_assisted
e_000000353,Pay Invoice,2026-01-14 16:17:00,automated
e_000000354,Create Purchase Order,2026-01-04 06:05:00,manual
e_000000355,Request Purchase Order Change,2026-01-04 13:05:00,manual
e_000000356,Update Purchase Order,2026-01-04 18:05:00,automated
e_000000357,Approve Purchase Order,2026-01-05 00:05:00,human_in_loop
e_000000358,Send Purchase Order,2026-01-05 04:05:00,manual
e_000000359,Receive Goods,2026-01-10 04:05:00,manual
e_000000360,Record Goods Receipt,2026-01-10 11:05:00,human_in_loop
e_000000361,Receive Invoice,2026-01-13 11:05:00,manual
e_000000362,Match Invoice,2026-01-13 23:05:00,human_in_loop
e_000000363,Approve Invoice,2026-01-14 23:05:00,manual
e_000000364,Pay Invoice,2026-01-17 23:05:00,manual
e_000000365,Create Purchase Order,2026-01-01 10:35:00,manual
e_000000366,Approve Purchase Order,2026-01-01 13:35:00,manual
e_000000367,Send Purchase Order,2026-01-01 19:35:00,automated
e_000000368,Receive Goods,2026-01-05 19:35:00,manual
e_000000369,Record Goods Receipt,2026-01-06 00:35:00,manual
e_000000370,Receive Invoice,2026-01-07 00:35:00,manual
e_000000371,Match Invoice,2026-01-07 15:35:00,automated
e_000000372,Approve Invoice,2026-01-08 12:35:00,manual
e_000000373,Pay Invoice,2026-01-10 12:35:00,automated
e_000000374,Receive Invoice,2026-01-14 12:35:00,automated
e_000000375,Match Invoice,2026-01-14 14:35:00,automated
e_000000376,Approve Invoice,2026-01-15 10:35:00,manual
e_000000377,Pay Invoice,2026-01-18 10:35:00,manual
e_000000378,Create Purchase Order,2026-01-04 07:49:00,automated
e_000000379,Approve Purchase Order,2026-01-09 08:49:00,ai_assisted
e_000000380,Send Purchase Order,2026-01-09 09:49:00,automated
e_000000381,Receive Goods,2026-01-12 09:49:00,manual
e_000000382,Record Goods Receipt,2026-01-12 10:49:00,manual
e_000000383,Receive Invoice,2026-01-13 10:49:00,manual
e_000000384,Match Invoice,2026-01-14 09:49:00,automated
e_000000385,Approve Invoice,2026-01-15 05:49:00,automated
e_000000386,Pay Invoice,2026-01-21 05:49:00,manual
e_000000387,Create Purchase Order,2026-01-02 02:24:00,manual
e_000000388,Approve Purchase Order,2026-01-02 10:24:00,manual
e_000000389,Send Purchase Order,2026-01-02 12:24:00,manual
e_000000390,Receive Goods,2026-01-04 12:24:00,ai_assisted
e_000000391,Record Goods Receipt,2026-01-04 18:24:00,human_in_loop
e_000000392,Receive Invoice,2026-01-09 18:24:00,automated
e_000000393,Match Invoice,2026-01-10 13:24:00,automated
e_000000394,Resolve Invoice Mismatch,2026-01-10 19:24:00,automated
e_000000395,Match Invoice,2026-01-11 03:24:00,manual
e_000000396,Approve Invoice,2026-01-11 06:24:00,ai_assisted
e_000000397,Pay Invoice,2026-01-17 06:24:00,manual
e_000000398,Create Purchase Order,2026-01-03 10:09:00,ai_assisted
e_000000399,Approve Purchase Order,2026-01-03 15:09:00,automated
e_000000400,Send Purchase Order,2026-01-03 21:09:00,automated
e_000000401,Receive Goods,2026-01-07 21:09:00,automated
e_000000402,Record Goods Receipt,2026-01-08 00:09:00,manual
e_000000403,Receive Invoice,2026-01-11 00:09:00,manual
e_000000404,Match Invoice,2026-01-17 12:09:00,manual
e_000000405,Approve Invoice,2026-01-18 09:09:00,automated
e_000000406,Pay Invoice,2026-01-21 09:09:00,automated
e_000000407,Create Purchase Order,2026-01-01 15:49:00,manual
e_000000408,Approve Purchase Order,2026-01-01 22:49:00,manual
e_000000409,Send Purchase Order,2026-01-02 04:49:00,automated
e_000000410,Receive Goods,2026-01-03 04:49:00,manual
e_000000411,Record Goods Receipt,2026-01-03 14:49:00,automated
e_000000412,Receive Invoice,2026-01-07 14:49:00,manual
e_000000413,Match Invoice,2026-01-07 18:49:00,manual
e_000000414,Approve Invoice,2026-01-08 16:49:00,manual
e_000000415,Pay Invoice,2026-01-15 16:49:00,ai_assisted
e_000000416,Create Purchase Order,2026-01-03 14:20:00,manual
e_000000417,Approve Purchase Order,2026-01-03 19:20:00,manual
e_000000418,Send Purchase Order,2026-01-03 20:20:00,manual
e_000000419,Receive Goods,2026-01-05 20:20:00,manual
e_000000420,Record Goods Receipt,2026-01-06 03:20:00,human_in_loop
e_000000421,Receive Invoice,2026-01-07 03:20:00,manual
e_000000422,Match Invoice,2026-01-07 13:20:00,ai_assisted
e_000000423,Approve Invoice,2026-01-07 21:20:00,human_in_loop
e_000000424,Pay Invoice,2026-01-12 21:20:00,automated
e_000000425,Create Purchase Order,2026-01-03 03:38:00,automated
e_000000426,Approve Purchase Order,2026-01-03 05:38:00,manual
e_000000427,Send Purchase Order,2026-01-03 08:38:00,automated
e_000000428,Receive Goods,2026-01-05 08:38:00,automated
e_000000429,Record Goods Receipt,2026-01-05 11:38:00,automated
e_000000430,Receive Goods,2026-01-10 11:38:00,manual
e_000000431,Record Goods Receipt,2026-01-10 15:38:00,automated
e_000000432,Receive Invoice,2026-01-12 15:38:00,automated
e_000000433,Match Invoice,2026-01-12 17:38:00,manual
e_000000434,Resolve Invoice Mismatch,2026-01-14 09:38:00,manual
e_000000435,Match Invoice,2026-01-15 04:38:00,manual
e_000000436,Approve Invoice,2026-01-15 08:38:00,manual
e_000000437,Pay Invoice,2026-01-22 08:38:00,human_in_loop
e_000000438,Create Purchase Order,2026-01-05 04:51:00,automated
e_000000439,Approve Purchase Order,2026-01-05 07:51:00,ai_assisted
e_000000440,Send Purchase Order,2026-01-05 12:51:00,automated
e_000000441,Receive Goods,2026-01-07 12:51:00,automated
e_000000442,Record Goods Receipt,2026-01-07 15:51:00,manual
e_000000443,Receive Goods,2026-01-08 15:51:00,automated
e_000000444,Record Goods Receipt,2026-01-09 00:51:00,manual
e_000000445,Receive Invoice,2026-01-11 00:51:00,manual
e_000000446,Match Invoice,2026-01-12 00:51:00,manual
