product_id,product_name,product_category,unit_price
product_0055,Product 0055,Office Supplies,1270.36
product_0056,Product 0056,Services,1235.44
product_0057,Product 0057,Logistics,735.54
product_0058,Product 0058,IT Hardware,519.79
product_0059,Product 0059,Maintenance,676.73
product_0060,Product 0060,Logistics,1008.3
product_0061,Product 0061,Maintenance,134.8
product_0062,Product 0062,Logistics,851.2
product_0063,Product 0063,Services,1028.27
product_0064,Product 0064,Office Supplies,1162.82
product_0065,Product 0065,Logistics,394.78
product_0066,Product 0066,Logistics,579.02
product_0067,Product 0067,Services,1266.55
product_0068,Product 0068,Services,1100.65
product_0069,Product 0069,Office Supplies,768.78
product_0070,Product 0070,Office Supplies,563.72
product_0071,Product 0071,Office Supplies,1273.09
product_0072,Product 0072,IT Hardware,1213.08
product_0073,Product 0073,Services,343.35
product_0074,Product 0074,Maintenance,1433.98
product_0075,Product 0075,Logistics,962.37
product_0076,Product 0076,Office Supplies,923.55
product_0077,Product 0077,Services,1402.22
product_0078,Product 0078,IT Hardware,1143.21
product_0079,Product 0079,IT Hardware,1055.68
product_0080,Product 0080,Services,638.5
product_0081,Product 0081,Logistics,1329.8
product_0082,Product 0082,Logistics,1170.18
product_0083,Product 0083,Maintenance,791.02
product_0084,Product 0084,Maintenance,1252.29
product_0085,Product 0085,Maintenance,307.12
product_0086,Product 0086,IT Hardware,691.69
product_0087,Product 0087,Services,139.12
product_0088,Product 0088,IT Hardware,611.85
product_0089,Product 0089,Logistics,384.02
product_0090,Product 0090,IT Hardware,998.11
product_0091,Product 0091,Office Supplies,596.9
product_0092,Product 0092,Services,752.18
product_0093,Product 0093,IT Hardware,761.48
product_0094,Product 0094,Maintenance,1032.92
product_0095,Product 0095,IT Hardware,520.82
product_0096,Product 0096,Services,838.59
product_0097,Product 0097,Maintenance,409.52
product_0098,Product 0098,IT Hardware,532.6
product_0099,Product 0099,Logistics,125.1
product_0100,Product 0100,IT Hardware,878.62
product_0101,Product 0101,Services,878.77
product_0102,Product 0102,Services,805.97
product_0103,Product 0103,Logistics,988.39
product_0104,Product 0104,IT Hardware,1271.31
product_0105,Product 0105,Maintenance,440.1
product_0106,Product 0106,Maintenance,129.05
product_0107,Product 0107,Office Supplies,221.37
product_0108,Product 0108,Maintenance,472.34
product_0109,Product 0109,Logistics,543.23
product_0110,Product 0110,Office Supplies,1253.66
product_0111,Product 0111,Services,1022.75
product_0112,Product 0112,Services,852.91
product_0113,Product 0113,Office Supplies,978.13
product_0114,Product 0114,IT Hardware,843.79
product_0115,Product 0115,IT Hardware,1117.5
product_0116,Product 0116,Logistics,684.81
product_0117,Product 0117,Logistics,343.43
product_0118,Product 0118,IT Hardware,839.28
product_0119,Product 0119,IT Hardware,65.18
product_0120,Product 0120,Logistics,972.51
product_0121,Product 0121,Services,1394.0
product_0122,Product 0122,Logistics,609.01
product_0123,Product 0123,IT Hardware,1334.54
product_0124,Product 0124,Office Supplies,817.69
product_0125,Product 0125,Logistics,396.74
product_0126,Product 0126,Services,866.63
product_0127,Product 0127,Maintenance,1352.63
product_0128,Product 0128,Maintenance,1164.26
product_0129,Product 0129,Office Supplies,159.32
product_0130,Product 0130,Logistics,88.35
product_0131,Product 0131,IT Hardware,21.74
product_0132,Product 0132,Maintenance,661.81
product_0133,Product 0133,IT Hardware,410.15
product_0134,Product 0134,Office Supplies,1108.61
product_0135,Product 0135,Logistics,1239.97
product_0136,Product 0136,Maintenance,902.17
product_0137,Product 0137,Office Supplies,490.07
product_0138,Product 0138,IT Hardware,1247.03
product_0139,Product 0139,Maintenance,413.58
product_0140,Product 0140,Services,246.54
product_0141,Product 0141,Logistics,857.05
product_0142,Product 0142,Services,427.05
product_0143,Product 0143,Services,759.06
product_0144,Product 0144,Maintenance,603.62
product_0145,Product 0145,Services,997.62
product_0146,Product 0146,Services,1079.91
product_0147,Product 0147,Maintenance,431.04
product_0148,Product 0148,Services,1044.0
product_0149,Product 0149,Logistics,123.04
product_0150,Product 0150,Office Supplies,129.91
product_0151,Product 0151,Office Supplies,429.76
product_0152,Product 0152,Maintenance,62.05
product_0153,Product 0153,Services,1343.54
product_0154,Product 0154,Office Supplies,1138.23
product_0155,Product 0155,IT Hardware,1062.02
product_0156,Product 0156,Office Supplies,701.14
product_0157,Product 0157,Office Supplies,507.78
product_0158,Product 0158,Maintenance,412.84
product_0159,Product 0159,Office Supplies,578.51
product_0160,Product 0160,IT Hardware,376.21
product_0161,Product 0161,Services,1195.07
product_0162,Product 0162,Services,716.6
product_0163,Product 0163,Logistics,709.24
product_0164,Product 0164,Maintenance,250.93
product_0165,Product 0165,Services,765.29
product_0166,Product 0166,Maintenance,1101.89
product_0167,Product 0167,Logistics,760.62
product_0168,Product 0168,IT Hardware,1110.3
product_0169,Product 0169,IT Hardware,857.39
product_0170,Product 0170,Logistics,623.67
product_0171,Product 0171,Logistics,569.26
product_0172,Product 0172,Services,426.52
product_0173,Product 0173,Office Supplies,1476.12
product_0174,Product 0174,Services,1306.57
product_0175,Product 0175,Logistics,613.34
product_0176,Product 0176,IT Hardware,192.35
product_0177,Product 0177,Maintenance,759.56
product_0178,Product 0178,Services,1377.81
product_0179,Product 0179,Maintenance,687.23
product_0180,Product 0180,Maintenance,794.81
product_0181,Product 0181,Logistics,353.92
product_0182,Product 0182,Office Supplies,467.3
product_0183,Product 0183,Maintenance,1151.66
product_0184,Product 0184,Office Supplies,923.61
product_0185,Product 0185,IT Hardware,348.16
product_0186,Product 0186,Maintenance,1398.9
product_0187,Product 0187,Services,860.28
product_0188,Product 0188,Office Supplies,197.57
product_0189,Product 0189,IT Hardware,379.37
product_0190,Product 0190,Services,1388.93
product_0191,Product 0191,Maintenance,1476.66
product_0192,Product 0192,Logistics,1084.87
product_0193,Product 0193,Logistics,1476.56
product_0194,Product 0194,Office Supplies,1298.88
product_0195,Product 0195,Services,307.55
product_0196,Product 0196,Services,22.74
product_0197,Product 0197,Office Supplies,683.65
product_0198,Product 0198,Maintenance,118.44
product_0199,Product 0199,Maintenance,489.7
product_0200,Product 0200,Services,41.8
